company,username,esg_company,verified
Vertex Pharmaceuticals,vertexpharmaceuticals,Vertex Pharmaceuticals Incorporated,Verified
CBS,cbstv,CBS Broadcasting Inc,Verified
ViacomCBS,viacomcbs,ViacomCBS Inc.,Verified
Visa,visa_us,Visa International,Verified
Vodafone,vodafoneuk,Vodafone Group Inc.,Verified
Volkswagen Group,volkswagen,Volkswagen AG,Verified
Walgreens Boots Alliance,walgreens,Walgreen Co.,Verified
Walmart,walmart,"Wal-Mart Stores, Inc.",Verified
Sam's Club,samsclub,"Wal-Mart Stores, Inc.",Verified
Asda,asda,"Wal-Mart Stores, Inc.",Verified
Warner Bros,warnerbrosentertainment,Warner Music Group,Verified
Wawa,wawa,Wawa Inc,Verified
Wells Fargo,wellsfargo,Wells Fargo & Co.,Verified
Western Digital,westerndigital,Western Digital Corp.,Verified
Whirlpool,whirlpoolusa,Whirlpool Corporation,Verified
Whole Foods,wholefoods,"Whole Foods Market, Inc.",Verified
WPP,wpp,WPP Group,Verified
Xerox,xerox,Xerox Corporation,Verified
Xiaomi,xiaomi.global,Xiaomi Inc,Verified
Yamaha Motor,yamahamotorusa,Yamaha Motor Company Limited,Verified
Yara International,yarainternational,Yara International ASA,Verified
Yes Bank,yes_bank,Yes Bank Ltd.,Verified
Yeti,yeti,"YETI Holdings, Inc.",Verified
YouTube,youtube,YouTube,Verified
Zenith Bank,zenithbankplc,ZENITH INTERNATIONAL BANK PLC,Verified
Zoetis,zoetispetcare,Zoetis Inc.,Verified
zoom,zoom,Zoom Corp,Verified
ZTE,zteusa,ZTE Corporation,Verified
